Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,YearBuilt_Decade,OverallQual_Bin,TotalSF,TotalBaths,HouseAge,RemodelAge,HasRemodeled,QualCond,PricePerSF,IsNewHouse,Neighborhood_freq,Exterior1st_freq,Exterior2nd_freq,YearBuilt_Decade_Label_freq,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_Rec,BsmtFinType2_Unf,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
1,60,65.0,8450,7,5,2003,2003,196.0,4,3,4,3,706,0,150,856,5,856,854,0,1710,1,0,2,1,3,1,4,8,0,0,2003.0,2,548,0,61,0,0,0,0,0,2,2008,208500,2000,Medium,2566,3.5,5,5,0,35,81.25487139516757,1,0.10273972602739725,0.3527397260273973,0.3452054794520548,0.2650684931506849,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
2,20,80.0,9600,6,8,1976,1976,0.0,3,3,4,3,978,0,284,1262,5,1262,0,0,1262,0,1,2,0,3,1,3,6,1,3,1976.0,2,460,298,0,0,0,0,0,0,5,2007,181500,1970,Medium,2524,2.5,31,31,0,48,71.90966719492869,0,0.007534246575342466,0.1506849315068493,0.14657534246575343,0.12876712328767123,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
3,60,68.0,11250,7,5,2001,2002,162.0,4,3,4,3,486,0,434,920,5,920,866,0,1786,1,0,2,1,3,1,4,6,1,3,2001.0,2,608,0,42,0,0,0,0,0,9,2008,223500,2000,Medium,2706,3.5,7,6,1,35,82.59423503325942,0,0.10273972602739725,0.3527397260273973,0.3452054794520548,0.2650684931506849,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
4,70,60.0,9550,7,5,1915,1970,0.0,3,3,3,4,216,0,540,756,4,961,756,0,1717,1,0,1,0,3,1,4,7,1,4,1998.0,3,642,0,35,272,0,0,0,0,2,2006,140000,1910,Medium,2473,2.0,91,36,1,35,56.61140315406389,0,0.03493150684931507,0.1410958904109589,0.026027397260273973,0.03972602739726028,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
5,60,84.0,14260,8,5,2000,2000,350.0,4,3,4,3,655,0,490,1145,5,1145,1053,0,2198,1,0,2,1,4,1,4,9,1,3,2000.0,3,836,192,84,0,0,0,0,0,12,2008,250000,2000,High,3343,3.5,8,8,0,40,74.78312892611427,0,0.028082191780821917,0.3527397260273973,0.3452054794520548,0.2650684931506849,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
6,50,85.0,14115,5,5,1993,1995,0.0,3,3,4,3,732,0,64,796,5,796,566,0,1362,1,0,1,1,1,1,3,5,0,0,1993.0,2,480,40,30,0,320,0,0,700,10,2009,143000,1990,Medium,2158,2.5,16,14,1,25,66.26506024096386,0,0.03356164383561644,0.3527397260273973,0.3452054794520548,0.11164383561643836,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
7,20,75.0,10084,8,5,2004,2005,186.0,4,3,5,3,1369,0,317,1686,5,1694,0,0,1694,1,0,2,0,3,1,4,7,1,4,2004.0,2,636,255,57,0,0,0,0,0,8,2007,307000,2000,High,3380,3.0,3,2,1,40,90.82840236686391,1,0.0589041095890411,0.3527397260273973,0.3452054794520548,0.2650684931506849,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
8,60,,10382,7,6,1973,1973,240.0,3,3,4,3,859,32,216,1107,5,1107,983,0,2090,1,0,2,1,3,1,3,7,2,3,1973.0,2,484,235,204,228,0,0,0,350,11,2009,200000,1970,Medium,3197,3.5,36,36,0,42,62.55864873318736,0,0.05,0.15205479452054796,0.14178082191780822,0.12876712328767123,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
9,50,51.0,6120,7,5,1931,1950,0.0,3,3,3,3,0,0,952,952,4,1022,752,0,1774,0,0,2,0,2,2,3,8,2,3,1931.0,2,468,90,0,205,0,0,0,0,4,2008,129900,1930,Medium,2726,2.0,77,58,1,35,47.65223771093177,0,0.0773972602739726,0.03424657534246575,0.026027397260273973,0.036986301369863014,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
10,190,50.0,7420,5,6,1939,1950,0.0,3,3,3,3,851,0,140,991,5,1077,0,0,1077,1,0,1,0,2,2,3,5,2,3,1939.0,1,205,0,4,0,0,0,0,0,1,2008,118000,1930,Medium,2068,2.0,69,58,1,30,57.05996131528046,0,0.03972602739726028,0.1506849315068493,0.14657534246575343,0.036986301369863014,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
11,20,70.0,11200,5,5,1965,1965,0.0,3,3,3,3,906,0,134,1040,5,1040,0,0,1040,1,0,1,0,3,1,3,5,0,0,1965.0,1,384,0,0,0,0,0,0,0,2,2008,129500,1960,Medium,2080,2.0,43,43,0,25,62.25961538461539,0,0.050684931506849315,0.15205479452054796,0.14178082191780822,0.11986301369863013,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
12,60,85.0,11924,9,5,2005,2006,286.0,5,3,5,3,998,0,177,1175,5,1182,1142,0,2324,1,0,3,0,4,1,5,11,2,4,2005.0,3,736,147,21,0,0,0,0,0,7,2006,345000,2000,High,3499,4.0,1,0,1,45,98.59959988568163,1,0.05273972602739726,0.01780821917808219,0.026027397260273973,0.2650684931506849,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
13,20,,12968,5,6,1962,1962,0.0,3,3,3,3,737,0,175,912,3,912,0,0,912,1,0,1,0,2,1,3,4,0,0,1962.0,1,352,140,0,0,0,176,0,0,9,2008,144000,1960,Medium,1824,2.0,46,46,0,30,78.94736842105263,0,0.050684931506849315,0.15205479452054796,0.09726027397260274,0.11986301369863013,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
14,20,91.0,10652,7,5,2006,2007,306.0,4,3,4,3,0,0,1494,1494,5,1494,0,0,1494,0,0,2,0,3,1,4,7,1,4,2006.0,3,840,160,33,0,0,0,0,0,8,2007,279500,2000,Medium,2988,2.0,1,0,1,35,93.54082998661312,1,0.10273972602739725,0.3527397260273973,0.3452054794520548,0.2650684931506849,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
15,20,,10920,6,5,1960,1960,212.0,3,3,3,3,733,0,520,1253,3,1253,0,0,1253,1,0,1,1,2,1,3,5,1,2,1960.0,1,352,0,213,176,0,0,0,0,5,2008,157000,1960,Medium,2506,2.5,48,48,0,30,62.64964086193137,0,0.1541095890410959,0.1506849315068493,0.14657534246575343,0.11986301369863013,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
16,45,51.0,6120,7,8,1929,2001,0.0,3,3,3,3,0,0,832,832,5,854,0,0,854,0,0,1,0,2,1,3,5,0,0,1991.0,2,576,48,112,0,0,0,0,0,7,2007,132000,1920,Medium,1686,1.0,78,6,1,56,78.29181494661921,0,0.03972602739726028,0.1410958904109589,0.13493150684931507,0.06643835616438357,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
17,20,,11241,6,7,1970,1970,180.0,3,3,3,3,578,0,426,1004,5,1004,0,0,1004,1,0,1,0,2,1,3,5,1,3,1970.0,2,480,0,0,0,0,0,0,700,3,2010,149000,1970,Medium,2008,2.0,40,40,0,42,74.20318725099601,0,0.1541095890410959,0.1410958904109589,0.13493150684931507,0.12876712328767123,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
18,90,72.0,10791,4,5,1967,1967,0.0,3,3,0,0,0,0,0,0,3,1296,0,0,1296,0,0,2,0,2,2,3,6,0,0,1967.0,2,516,0,0,0,0,0,0,500,10,2006,90000,1960,Low,1296,2.0,39,39,0,20,69.44444444444444,0,0.050684931506849315,0.1506849315068493,0.14657534246575343,0.11986301369863013,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
19,20,66.0,13695,5,5,2004,2004,0.0,3,3,3,3,646,0,468,1114,5,1114,0,0,1114,1,0,1,1,3,1,4,6,0,0,2004.0,2,576,0,102,0,0,0,0,0,6,2008,159000,2000,Medium,2228,2.5,4,4,0,25,71.36445242369838,1,0.04041095890410959,0.3527397260273973,0.3452054794520548,0.2650684931506849,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
20,20,70.0,7560,5,6,1958,1965,0.0,3,3,3,3,504,0,525,1029,3,1339,0,0,1339,0,0,1,0,3,1,3,6,0,0,1958.0,1,294,0,0,0,0,0,0,0,5,2009,139000,1950,Medium,2368,1.0,51,44,1,30,58.69932432432432,0,0.1541095890410959,0.03424657534246575,0.09726027397260274,0.11438356164383562,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
